timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
5900	1899.676611	12.38492056	12.38492056	12.38492056	-8638.498333	2022.859363	0.6746237662	0.5167873467
6000	1932.671796	12.4562133	12.4562133	12.4562133	-8301.036855	2492.874228	0.8313737629	1.038599399
6100	2022.93672	12.64719164	12.64719164	12.64719164	-7685.245509	2758.992018	0.9201240679	1.409364944
6200	2216.745556	13.03882977	13.03882977	13.03882977	-7051.636138	3018.896922	1.006802375	0.7819867823
6300	2441.82922	13.46599438	13.46599438	13.46599438	-6295.649506	3202.554043	1.06805204	0.6935400597
6400	2652.645823	13.84287899	13.84287899	13.84287899	-5750.125127	3658.584798	1.220138335	0.6519539791
6500	2845.69259	14.17085304	14.17085304	14.17085304	-5136.46011	4054.579381	1.352202562	1.068704561
6600	3117.576173	14.60850223	14.60850223	14.60850223	-4658.432429	4441.255237	1.481158992	0.9437950703
6700	3490.367403	15.16900338	15.16900338	15.16900338	-4160.614794	4611.879503	1.538062199	0.7171995568
6800	3897.541291	15.73730064	15.73730064	15.73730064	-3634.619018	4555.154242	1.519144319	0.7807055246
6900	4252.197376	16.20085015	16.20085015	16.20085015	-3384.627785	4602.824381	1.535042315	0.6283222133
7000	4469.701703	16.47249989	16.47249989	16.47249989	-3247.399369	4608.017843	1.536774335	0.660734757
7100	4517.472044	16.53097584	16.53097584	16.53097584	-3191.421902	4554.442932	1.518907097	0.6998507001
7200	4410.402981	16.39932947	16.39932947	16.39932947	-3254.476678	4481.261793	1.494501182	0.6097471729
7300	4156.004662	16.07775262	16.07775262	16.07775262	-3475.707463	4448.230252	1.48348516	0.7054176164
7400	3836.422099	15.65460551	15.65460551	15.65460551	-3757.662626	4332.597825	1.444921736	0.7293892837
7500	3508.029715	15.19454692	15.19454692	15.19454692	-4103.068148	4125.400162	1.375821298	0.7583579687
7600	3186.846934	14.71590814	14.71590814	14.71590814	-4547.199334	3897.890674	1.299946865	0.8602268784
7700	2917.075303	14.28836536	14.28836536	14.28836536	-5062.655478	3653.042385	1.21828994	0.8208885055
7800	2694.698444	13.91564659	13.91564659	13.91564659	-5506.1393	3257.894711	1.086508158	0.8025255595
